"","where","cases","deaths","AIANNHCE","AIANNHNS","GEOID","NAMELSAD","ALAND","AWATER","tot_pop","Shape_Length","Shape_Area","deathrate","caserate"
"402","Mekoryuk",NA,NA,6935,2418705,"6935R","Mekoryuk ANVSA",18302850,33631,226,0.491171347,0.002982732,NA,NA
"403","Menominee",NA,NA,2175,1831784,"2175R","Menominee Reservation",915522061,19016881,3390,4.217660222,0.106663103,NA,NA
"404","Mentasta Lake",NA,NA,6945,2418707,"6945R","Mentasta Lake ANVSA",97448591,4825148,184,0.767850985,0.018055274,NA,NA
"405","Mesa Grande",NA,NA,2190,2419013,"2190R","Mesa Grande Reservation",7058522,0,78,0.237723125,0.000681823,NA,NA
"406","Mescalero",NA,NA,2205,924240,"2205R","Mescalero Reservation",1862762809,1469791,3730,2.046355849,0.180228164,NA,NA
"407","Miami",NA,NA,5730,2418711,"5730R","Miami OTSA",71767198,921910,226,0.410132306,0.007355478,NA,NA
"408","Miami/Peoria",NA,NA,5970,2418712,"5970R","Miami/Peoria joint-use OTSA",32217420,439979,4279,0.28341631,0.003301889,NA,NA
"409","Miccosukee",NA,NA,2240,307483,"2240R","Miccosukee Reservation",331773283,372498,6,1.013475251,0.029976374,NA,NA
"410","Middletown",NA,NA,2255,228627,"2255R","Middletown Rancheria",489059,0,0,0.031474014,5.06643e-05,NA,NA
"411","Mille Lacs",NA,NA,2270,2419017,"2270R","Mille Lacs Reservation",249849628,162768673,4425,1.449685336,0.048039851,NA,NA
"412","Minnesota Chippewa",NA,NA,2285,2419018,"2285T","Minnesota Chippewa Trust Land",1162890,0,0,0.126638527,0.000138065,NA,NA
"413","Minto",NA,NA,6965,2418713,"6965R","Minto ANVSA",7833798,0,229,0.224723283,0.0014979,NA,NA
"414","Moapa River",NA,NA,2315,845336,"2315R","Moapa River Indian Reservation",287401206,0,294,1.013938819,0.028934177,NA,NA
"415","Modoc",NA,NA,5740,2418715,"5740R","Modoc OTSA",16173615,0,253,0.162278428,0.001634373,NA,NA
"416","Mohegan",NA,NA,2320,2419022,"2320R","Mohegan Reservation",1767260,0,283,0.130267241,0.000190532,NA,NA
"417","Moloaa",NA,NA,5156,362464,"5156T","Moloaa Hawaiian Home Land",1398328,0,0,0.075805704,0.000122444,NA,NA
"418","Montgomery Creek",NA,NA,2330,263771,"2330R","Montgomery Creek Rancheria",311113,0,4,0.025114438,3.3215e-05,NA,NA
"419","Mooretown",NA,NA,2340,2419023,"2340R","Mooretown Rancheria",132045,0,160,0.026268646,1.38207e-05,NA,NA
"420","Morongo",NA,NA,2360,255940,"2360R","Morongo Reservation",138657662,0,777,1.650146189,0.013523458,NA,NA
"421","Mountain Village",NA,NA,6975,2418719,"6975R","Mountain Village ANVSA",280033261,82346109,828,2.264969333,0.062258786,NA,NA
"422","MOWA Choctaw",NA,NA,9240,2419024,"9240R","MOWA Choctaw (state) Reservation",2694225,0,81,0.117269905,0.000254937,NA,NA
"423","Naknek",NA,NA,6990,2418721,"6990R","Naknek ANVSA",211186474,1716639,464,1.02133934,0.033048551,NA,NA
"424","Nambe",NA,NA,2400,918263,"2400R","Nambe Pueblo",82982141,192797,1613,0.447069564,0.008300969,NA,NA
"425","Nanakuli",NA,NA,5161,362574,"5161T","Nanakuli Hawaiian Home Land",9342729,6042,5141,0.221006932,0.000814239,NA,NA
"426","Nanticoke Indian Tribe",NA,NA,9830,2418723,"9830R","Nanticoke Indian Tribe SDTSA",71722459,223649,8546,0.54768271,0.007445559,NA,NA
"427","Nanticoke Lenni Lenape",NA,NA,9835,2418724,"9835R","Nanticoke Lenni Lenape SDTSA",49505619,643610,5932,0.554315814,0.005244471,NA,NA
"428","Nanwalek",NA,NA,6995,2418725,"6995R","Nanwalek ANVSA",21716632,35731,212,0.408983438,0.003430218,NA,NA
"429","Napaimute",NA,NA,7005,2418727,"7005R","Napaimute ANVSA",65245335,8317630,0,0.577619757,0.012417821,NA,NA
"430","Napakiak",NA,NA,7010,2418728,"7010R","Napakiak ANVSA",5209389,244909,369,0.146794163,0.000896033,NA,NA
"431","Napaskiak",NA,NA,7020,2418729,"7020R","Napaskiak ANVSA",7516404,701550,356,0.169075698,0.001350548,NA,NA
"432","Narragansett",NA,NA,2415,2030138,"2415R","Narragansett Reservation",8325237,5485,0,0.449294205,0.000897113,NA,NA
"433","Nelson Lagoon",NA,NA,7025,2418732,"7025R","Nelson Lagoon ANVSA",11780943,230843,74,0.579259858,0.00172842,NA,NA
"434","Nenana",NA,NA,7030,2418734,"7030R","Nenana ANVSA",15101273,148376,383,0.328498566,0.002850475,NA,NA
"435","New Koliganek",NA,NA,7040,2418736,"7040R","New Koliganek ANVSA",43323387,877663,161,0.656040208,0.007045789,NA,NA
"436","New Stuyahok",NA,NA,7050,2418737,"7050R","New Stuyahok ANVSA",87451715,5672569,557,0.513643036,0.014747008,NA,NA
"437","Newhalen",NA,NA,7035,2418738,"7035R","Newhalen ANVSA",15624671,6386436,121,0.301074472,0.003511841,NA,NA
"438","Newtok",NA,NA,7055,2418739,"7055R","Newtok ANVSA",21570625,288060,360,0.432758574,0.00360663,NA,NA
"439","Nez Perce",NA,NA,2445,399588,"2445R","Nez Perce Reservation",3091837192,27162612,18770,2.659830986,0.364252398,NA,NA
"440","Nienie",NA,NA,5166,362640,"5166T","Nienie Hawaiian Home Land",28726576,0,0,0.273273476,0.002479824,NA,NA
"441","Nightmute",NA,NA,7065,2418741,"7065R","Nightmute ANVSA",13548582,36178,189,0.311350594,0.00221725,NA,NA
"442","Nikolai",NA,NA,7070,2418744,"7070R","Nikolai ANVSA",11367588,806494,114,0.194912537,0.002156197,NA,NA
"443","Nikolski",NA,NA,7075,2418745,"7075R","Nikolski ANVSA",50874843,1898730,26,0.826396708,0.007047232,NA,NA
"444","Ninilchik",NA,NA,7080,2418747,"7080R","Ninilchik ANVSA",2327565914,1373326400,15103,4.090262583,0.595041436,NA,NA
"445","Nisqually",NA,NA,2460,1528422,"2460R","Nisqually Reservation",20459261,808442,666,0.221758805,0.002516273,NA,NA
"446","Noatak",NA,NA,7085,2418749,"7085R","Noatak ANVSA",41524644,2125695,422,1.144067224,0.009197731,NA,NA
"447","Nome",NA,NA,7095,2575187,"7095R","Nome ANVSA",324024802,22471039,4014,2.348340079,0.064703387,NA,NA
"448","Nondalton",NA,NA,7100,2419145,"7100R","Nondalton ANVSA",17451147,704233,114,0.295851139,0.00291751,NA,NA
"449","Nooksack",NA,NA,2475,2419035,"2475R","Nooksack Reservation",29191,0,1139,0.014050984,3.57474e-06,NA,NA
"450","Noorvik",NA,NA,7110,2419146,"7110R","Noorvik ANVSA",2171090,1107191,597,0.117778871,0.000669228,NA,NA
"451","North Fork",NA,NA,2495,2419036,"2495R","North Fork Rancheria",267979,0,138,0.03417438,2.72081e-05,NA,NA
"452","Northern Cheyenne",NA,NA,2490,1637567,"2490R","Northern Cheyenne Indian Reservation",1805463910,300819,4931,2.809904948,0.208009613,NA,NA
"453","Northway",NA,NA,7115,2419147,"7115R","Northway ANVSA",93061350,8636461,262,1.677953754,0.017981216,NA,NA
"454","Northwestern Shoshone",NA,NA,2505,1455571,"2505R","Northwestern Shoshone Reservation",787666,0,0,0.056238081,8.55224e-05,NA,NA
"455","Nuiqsut",NA,NA,7125,2419151,"7125R","Nuiqsut ANVSA",23020445,0,469,0.338900076,0.005460092,NA,NA
"456","Nulato",NA,NA,7130,2419152,"7130R","Nulato ANVSA",106425939,6977301,257,0.845879755,0.021326965,NA,NA
"457","Nunam Iqua",NA,NA,7133,2419153,"7133R","Nunam Iqua ANVSA",29964346,16909273,167,0.389067305,0.008162924,NA,NA
"458","Nunapitchuk",NA,NA,7135,2419154,"7135R","Nunapitchuk ANVSA",18105042,2501655,869,0.233419506,0.003404796,NA,NA
"459","Occaneechi-Saponi",NA,NA,9838,2564991,"9838R","Occaneechi-Saponi SDTSA",241831327,4319078,9522,0.870214518,0.02465792,NA,NA
"460","Ohogamiut",NA,NA,7145,2419155,"7145R","Ohogamiut ANVSA",23208194,66140,0,0.389053499,0.00393339,NA,NA
"461","Oil Springs",NA,NA,2535,959239,"2535R","Oil Springs Reservation",2487842,28100,2,0.067251144,0.000274385,NA,NA
"462","Old Harbor",NA,NA,7150,2419156,"7150R","Old Harbor ANVSA",41927386,16571186,249,0.48950106,0.00869291,NA,NA
"463","Omaha",NA,NA,2550,834985,"2550R","Omaha Reservation",795209806,7669505,4831,1.636816396,0.08737069,NA,NA
"464","Oneida Nation",NA,NA,2555,2419043,"2555R","Oneida Nation Reservation",212697,0,0,0.021203971,2.34953e-05,NA,NA
"465","Onondaga Nation",NA,NA,2570,979312,"2570R","Onondaga Nation Reservation",23950722,119791,134,0.234345137,0.002654684,NA,NA
"466","Ontonagon",NA,NA,2580,1934329,"2580R","Ontonagon Reservation",9679643,0,0,0.145964223,0.001144264,NA,NA
"467","Osage",NA,NA,2595,1100113,"2595R","Osage Reservation",5818679077,148729736,47311,4.240714262,0.601227318,NA,NA
"468","Oscarville",NA,NA,7175,2419157,"7175R","Oscarville ANVSA",6744267,455216,64,0.257873397,0.001184079,NA,NA
"469","Ottawa",NA,NA,5770,2419159,"5770R","Ottawa OTSA",60617997,1494725,5965,0.473253074,0.006276011,NA,NA
"470","Ouzinkie",NA,NA,7180,2419160,"7180R","Ouzinkie ANVSA",33576583,3971670,180,0.563208709,0.005687965,NA,NA
"471","Paimiut",NA,NA,7185,2419161,"7185R","Paimiut ANVSA",65575906,0,0,1.023988905,0.011129669,NA,NA
"472","Paiute (UT)",NA,NA,2625,1436088,"2625R","Paiute (UT) Reservation",131123545,29024,378,0.957619112,0.013333269,NA,NA
"473","Pala",NA,NA,2635,272502,"2635R","Pala Reservation",56177783,0,1288,0.821029059,0.005442197,NA,NA
"474","Pamunkey",NA,NA,9260,1472036,"9260R","Pamunkey (state) Reservation",4421855,1958558,87,0.110040677,0.000650749,NA,NA
"475","Panaewa (Agricultural)",NA,NA,5176,1853349,"5176T","Panaewa (Agricultural) Hawaiian Home Land",6864225,19097,649,0.139290664,0.000592995,NA,NA
"476","Panaewa (Residential)",NA,NA,5177,1853352,"5177T","Panaewa (Residential) Hawaiian Home Land",494132,0,1327,0.027981512,4.25727e-05,NA,NA
"477","Papakolea",NA,NA,5179,2634628,"5179T","Papakolea Hawaiian Home Land",499996,0,1505,0.053365956,4.35263e-05,NA,NA
"478","Paskenta",NA,NA,2685,2419050,"2685R","Paskenta Rancheria",8662058,9053,0,0.147529196,0.000912782,NA,NA
"479","Passamaquoddy",NA,NA,2695,2419052,"2695T","Passamaquoddy Trust Land",373266178,15429335,0,3.769143095,0.044705823,NA,NA
"480","Pauahi",NA,NA,5181,363180,"5181T","Pauahi Hawaiian Home Land",2237110,0,0,0.102664235,0.000193163,NA,NA
"481","Paucatuck Eastern Pequot",NA,NA,9280,209709,"9280R","Paucatuck Eastern Pequot (state) Reservation",924356,59004,36,0.047431748,0.000105953,NA,NA
"482","Paukukalo",NA,NA,5186,1853350,"5186T","Paukukalo Hawaiian Home Land",252395,0,845,0.0229786,2.19126e-05,NA,NA
"483","Pauma and Yuima",NA,NA,2715,272896,"2715R","Pauma and Yuima Reservation",24252286,0,242,0.26170644,0.002349503,NA,NA
"484","Pawnee",NA,NA,5780,1925076,"5780R","Pawnee OTSA",1333909540,56392810,16197,2.152170311,0.139504377,NA,NA
"485","Pearl City",NA,NA,5188,2634629,"5188T","Pearl City Hawaiian Home Land",94785,0,63,0.028633039,8.25602e-06,NA,NA
"486","Pechanga",NA,NA,2745,272911,"2745R","Pechanga Reservation",18159528,6136,343,0.25575345,0.0017615,NA,NA
"487","Pedro Bay",NA,NA,7205,2419163,"7205R","Pedro Bay ANVSA",44190373,5815884,20,0.644757007,0.00799151,NA,NA
"488","Pee Dee",NA,NA,9844,2564993,"9844R","Pee Dee SDTSA",132007505,1831757,3210,0.518018803,0.013169762,NA,NA
"489","Peoria",NA,NA,5795,2419165,"5795R","Peoria OTSA",101791845,364779,5053,0.59855262,0.010328152,NA,NA
"490","Perryville",NA,NA,7215,2419166,"7215R","Perryville ANVSA",28926603,17584,86,0.379495816,0.004159191,NA,NA
"491","Petersburg",NA,NA,7220,2575188,"7220R","Petersburg ANVSA",6411383,261208,2448,0.169260848,0.000980961,NA,NA
"492","Picayune",NA,NA,2775,1670201,"2775R","Picayune Rancheria",280520,0,111,0.02385494,2.84758e-05,NA,NA
"493","Picuris",NA,NA,2785,1934341,"2785R","Picuris Pueblo",70893925,7083,2216,0.339629131,0.007104724,NA,NA
"494","Piihonua",NA,NA,5193,2634630,"5193T","Piihonua Hawaiian Home Land",21251,0,92,0.007064355,1.83112e-06,NA,NA
"495","Pilot Point",NA,NA,7225,2419169,"7225R","Pilot Point ANVSA",21997040,21429,83,0.505660497,0.003303874,NA,NA
"496","Pilot Station",NA,NA,7230,2419170,"7230R","Pilot Station ANVSA",4159455,711574,576,0.144677515,0.000832717,NA,NA
"497","Pine Ridge",NA,NA,2810,1263144,"2810R","Pine Ridge Reservation",11247588717,27448125,19895,5.941680725,1.251796363,NA,NA
"498","Pinoleville",NA,NA,2820,230747,"2820R","Pinoleville Rancheria",421979,0,223,0.039760038,4.39893e-05,NA,NA
"499","Pit River",NA,NA,2835,2419056,"2835T","Pit River Trust Land",1086963,522,0,0.058664923,0.00011615,NA,NA
"500","Pitkas Point",NA,NA,7235,2419171,"7235R","Pitkas Point ANVSA",4160639,0,122,0.14840109,0.000713359,NA,NA
"501","Platinum",NA,NA,7245,2419173,"7245R","Platinum ANVSA",67245638,4100504,13,0.88624177,0.011141181,NA,NA
"502","Pleasant Point",NA,NA,2850,573503,"2850R","Pleasant Point Reservation",1462308,1055604,723,0.135140773,0.000287159,NA,NA
"503","Poarch Creek",NA,NA,2865,2419057,"2865R","Poarch Creek Reservation",1071074,7844,356,0.108947923,0.000102208,NA,NA
"504","Point Hope",NA,NA,7250,2419176,"7250R","Point Hope ANVSA",12951806,187666,592,0.807750178,0.002859314,NA,NA
"505","Point Lay",NA,NA,7255,2419177,"7255R","Point Lay ANVSA",73847369,9782126,251,1.991169243,0.019393148,NA,NA
"506","Pojoaque",NA,NA,2990,937193,"2990R","Pueblo of Pojoaque",54748557,0,3356,0.302292236,0.005465167,NA,NA
"507","Pokagon",NA,NA,2890,2419058,"2890R","Pokagon Reservation",2709373,12445,86,0.100999849,0.000294754,NA,NA
"508","Ponca",NA,NA,5800,2419180,"5800R","Ponca OTSA",423603691,8793989,2119,1.055477982,0.043541572,NA,NA
"509","Ponca (NE)",NA,NA,2900,2419061,"2900T","Ponca (NE) Trust Land",828880,0,0,0.057631036,9.10622e-05,NA,NA
"510","Ponohawaii",NA,NA,5196,2634631,"5196T","Ponohawaii Hawaiian Home Land",3727,0,16,0.004011448,3.21105e-07,NA,NA
"511","Poospatuck",NA,NA,9300,979384,"9300R","Poospatuck (state) Reservation",292590,148143,692,0.036501851,4.70221e-05,NA,NA
"512","Port Alsworth",NA,NA,7263,2575189,"7263R","Port Alsworth ANVSA",58425288,385782,151,0.47075734,0.009508306,NA,NA
"513","Port Gamble",NA,NA,2910,1507567,"2910R","Port Gamble Reservation",6576740,0,622,0.187370993,0.000790308,NA,NA
"514","Port Graham",NA,NA,7265,2419184,"7265R","Port Graham ANVSA",16559024,0,192,0.319089248,0.002612008,NA,NA
"515","Port Heiden",NA,NA,7270,2419186,"7270R","Port Heiden ANVSA",121120569,1568005,78,0.675749702,0.018100423,NA,NA
"516","Port Lions",NA,NA,7275,2419187,"7275R","Port Lions ANVSA",216084874,57061332,190,1.137498504,0.04122446,NA,NA
"517","Port Madison",NA,NA,2925,1507571,"2925R","Port Madison Reservation",31289128,0,7846,0.446218684,0.003752071,NA,NA
"518","Portage Creek",NA,NA,7260,2419189,"7260R","Portage Creek ANVSA",33682197,0,0,0.404632921,0.00524646,NA,NA
"519","Prairie Band of Potawatomi Nation",NA,NA,2980,1934332,"2980R","Prairie Band of Potawatomi Nation Reservation",314701434,174485,1645,0.730792985,0.032898483,NA,NA
"520","Prairie Island",NA,NA,2985,654519,"2985R","Prairie Island Indian Community",2233132,171952,158,0.11214038,0.000272759,NA,NA
"521","Princess Kahanu Estates",NA,NA,5198,2634632,"5198T","Princess Kahanu Estates Hawaiian Home Land",215014,0,1542,0.022618139,1.87275e-05,NA,NA
"522","Pulehunui",NA,NA,5199,2414182,"5199T","Pulehunui Hawaiian Home Land",1587124,0,0,0.079371415,0.000137708,NA,NA
"523","Puukapu",NA,NA,5201,364148,"5201T","Puukapu Hawaiian Home Land",48826569,47815,961,0.60629795,0.004218723,NA,NA
"524","Pyramid Lake Paiute",NA,NA,3010,857503,"3010R","Pyramid Lake Paiute Reservation",1438778676,450651614,1499,2.369427505,0.199504926,NA,NA
"525","Quapaw",NA,NA,5810,2419193,"5810R","Quapaw OTSA",223775562,1225798,5092,0.748598725,0.022765343,NA,NA
"526","Quartz Valley",NA,NA,3020,265103,"3020R","Quartz Valley Reservation",2451478,0,198,0.081244914,0.000264805,NA,NA
"527","Quileute",NA,NA,3030,1511646,"3030R","Quileute Reservation",4078881,153768,451,0.190163329,0.000509194,NA,NA
"528","Quinault",NA,NA,3040,1531838,"3040R","Quinault Reservation",809805133,29517409,1153,1.664494817,0.100042668,NA,NA
"529","Ramapough",NA,NA,9850,2419194,"9850R","Ramapough SDTSA",18619479,260904,994,0.360909045,0.002024585,NA,NA
"530","Ramona",NA,NA,3070,273181,"3070R","Ramona Village",2195131,14944,0,0.111745798,0.000214696,NA,NA
"531","Rampart",NA,NA,7300,2419195,"7300R","Rampart ANVSA",16777293,1473668,60,0.292471462,0.00353594,NA,NA
"532","Red Cliff",NA,NA,3085,1577204,"3085R","Red Cliff Reservation",56845199,351028,1282,0.752201751,0.006753791,NA,NA
"533","Red Devil",NA,NA,7305,2419197,"7305R","Red Devil ANVSA",65077919,6991302,21,0.680164607,0.012251152,NA,NA
"534","Redding",NA,NA,3095,1682404,"3095R","Redding Rancheria",106381,151,21,0.022323944,1.13187e-05,NA,NA
"535","Redwood Valley",NA,NA,3115,231455,"3115R","Redwood Valley Rancheria",1095256,0,323,0.074065998,0.00011435,NA,NA
"536","Reno-Sparks",NA,NA,3130,853944,"3130R","Reno-Sparks Indian Colony",64985885,0,1047,0.546115103,0.006825466,NA,NA
"537","Resighini",NA,NA,3145,1657342,"3145R","Resighini Rancheria",996253,0,14,0.068432884,0.000107455,NA,NA
"538","Rincon",NA,NA,3165,273286,"3165R","Rincon Reservation",15832640,0,932,0.266790697,0.001532115,NA,NA
"539","Roaring Creek",NA,NA,3185,265444,"3185R","Roaring Creek Rancheria",331930,234,21,0.024473805,3.54937e-05,NA,NA
"540","Robinson",NA,NA,3195,234577,"3195R","Robinson Rancheria",725296,6661,366,0.073507553,7.62956e-05,NA,NA
"541","Rocky Boy's",NA,NA,3205,767936,"3205R","Rocky Boy's Reservation",227997389,306432,3634,0.822016684,0.027631278,NA,NA
"542","Rohnerville",NA,NA,3220,231831,"3220R","Rohnerville Rancheria",176274,0,23,0.025974051,1.87542e-05,NA,NA
"543","Round Valley",NA,NA,3250,267196,"3250R","Round Valley Reservation",30320904,11491,416,1.245433814,0.003194184,NA,NA
"544","Ruby",NA,NA,7310,2419201,"7310R","Ruby ANVSA",18194550,0,207,0.276316215,0.003423995,NA,NA
"545","Rumsey",NA,NA,3265,232012,"3265R","Rumsey Indian Rancheria",1954498,0,2,0.102067943,0.000202508,NA,NA
"546","Russian Mission",NA,NA,7315,2419202,"7315R","Russian Mission ANVSA",13904058,919015,318,0.21284813,0.002520534,NA,NA
"547","Sac and Fox",NA,NA,5820,1925067,"5820R","Sac and Fox OTSA",1915036225,28523287,58194,2.709743867,0.193579202,NA,NA
"548","Sac and Fox Nation",NA,NA,3285,479832,"3285R","Sac and Fox Nation Reservation",59692871,0,141,0.527535855,0.006296466,NA,NA
"549","Sac and Fox/Meskwaki",NA,NA,3280,463420,"3280R","Sac and Fox/Meskwaki Settlement",25829960,0,1058,0.526453947,0.002805991,NA,NA
"550","Salamatof",NA,NA,7400,2419203,"7400R","Salamatof ANVSA",20800328,439434,1015,0.318528179,0.003481052,NA,NA
"551","Samish",NA,NA,8750,2419206,"8750R","Samish TDSA",581830596,1402707596,38296,2.441028691,0.241757497,NA,NA
"552","San Carlos",NA,NA,3355,24000,"3355R","San Carlos Reservation",7516591413,62469236,10443,5.967641865,0.733992285,NA,NA
"553","San Felipe Pueblo/Santa Ana Pueblo",NA,NA,4930,2419124,"4930R","San Felipe Pueblo/Santa Ana Pueblo joint-use area",2785130,0,0,0.088374936,0.000276213,NA,NA
"554","San Felipe Pueblo/Santo Domingo Pueblo",NA,NA,4940,2419125,"4940R","San Felipe Pueblo/Santo Domingo Pueblo joint-use area",3207220,0,0,0.127192582,0.000318505,NA,NA
"555","San Ildefonso",NA,NA,3415,918342,"3415R","San Ildefonso Pueblo",113165321,621646,1881,0.621699229,0.011356908,NA,NA
"556","San Manuel",NA,NA,3445,248904,"3445R","San Manuel Reservation",2781454,0,51,0.084819928,0.000271919,NA,NA
"557","San Pasqual",NA,NA,3460,255933,"3460R","San Pasqual Reservation",5727871,0,843,0.233763046,0.000553922,NA,NA
"558","Sand Point",NA,NA,7410,2419207,"7410R","Sand Point ANVSA",20659491,456305,1372,0.27531981,0.002987893,NA,NA
"559","Sandia",NA,NA,3370,1934343,"3370R","Sandia Pueblo",99012584,1013094,5264,0.487996905,0.009906035,NA,NA
"560","Santa Ana",NA,NA,3480,1934345,"3480R","Santa Ana Pueblo",261508404,358738,695,0.902183033,0.025992586,NA,NA
"561","Santa Clara",NA,NA,3495,937196,"3495R","Santa Clara Pueblo",198868429,647768,11693,0.967401825,0.019937305,NA,NA
"562","Santa Rosa",NA,NA,3520,247949,"3520R","Santa Rosa Rancheria",1620467,0,940,0.065086096,0.000162454,NA,NA
"563","Santa Rosa",NA,NA,3525,1934330,"3525R","Santa Rosa Reservation",44189655,0,73,0.429565433,0.00429036,NA,NA
"564","Santa Ynez",NA,NA,3540,249132,"3540R","Santa Ynez Reservation",629386,0,263,0.053420461,6.18525e-05,NA,NA
"565","Santa Ysabel",NA,NA,3550,255932,"3550R","Santa Ysabel Reservation",60672776,0,198,0.727914023,0.005864835,NA,NA
"566","Santee",NA,NA,3565,1884912,"3565R","Santee Reservation",447827823,30051352,1019,0.915510307,0.052524226,NA,NA
"567","Santee",NA,NA,9875,2564994,"9875R","Santee SDTSA",19887949,0,560,0.206343337,0.001926457,NA,NA
"568","Sappony",NA,NA,9865,2418630,"9865R","Sappony SDTSA",111352887,10556976,2611,0.447308192,0.012261311,NA,NA
"569","Sauk-Suiattle",NA,NA,3625,2419131,"3625R","Sauk-Suiattle Reservation",188279,0,63,0.032521268,2.28279e-05,NA,NA
"570","Sault Ste. Marie",NA,NA,3635,2419132,"3635R","Sault Ste. Marie Reservation",2290468,45259,2180,0.121326527,0.00027359,NA,NA
"571","Savoonga",NA,NA,7415,2419208,"7415R","Savoonga ANVSA",15208048,0,921,0.436705457,0.002756996,NA,NA
"572","Saxman",NA,NA,7420,2419209,"7420R","Saxman ANVSA",2497701,0,360,0.084954788,0.00035342,NA,NA
"573","Scammon Bay",NA,NA,7425,2419210,"7425R","Scammon Bay ANVSA",1212563,0,585,0.063898294,0.000206587,NA,NA
"574","Schaghticoke",NA,NA,9350,210687,"9350R","Schaghticoke (state) Reservation",1122120,0,11,0.048074787,0.00012136,NA,NA
"575","Selawik",NA,NA,7430,2419211,"7430R","Selawik ANVSA",6033425,1591057,839,0.171291713,0.001542057,NA,NA
"576","Seldovia",NA,NA,7435,2419212,"7435R","Seldovia ANVSA",34304082,3288581,400,0.517700412,0.005950583,NA,NA
"577","Seminole",NA,NA,5830,1925073,"5830R","Seminole OTSA",1470140343,19100946,23006,2.076719609,0.14732144,NA,NA
"578","Seminole (FL)",NA,NA,3665,2419138,"3665T","Seminole (FL) Trust Land",7841,0,0,0.003431441,7.0751e-07,NA,NA
"579","Shageluk",NA,NA,7440,2419215,"7440R","Shageluk ANVSA",26459996,3323884,75,0.318361506,0.005214475,NA,NA
"580","Shakopee Mdewakanton Sioux",NA,NA,3680,649741,"3680R","Shakopee Mdewakanton Sioux Community",1062761,0,954,0.083549077,0.00012076,NA,NA
"581","Shaktoolik",NA,NA,7450,2419216,"7450R","Shaktoolik ANVSA",2765146,23272,294,0.272273519,0.000517747,NA,NA
"582","Sherwood Valley",NA,NA,3735,232986,"3735R","Sherwood Valley Rancheria",1422993,0,107,0.073513002,0.00014904,NA,NA
"583","Shingle Springs",NA,NA,3750,233021,"3750R","Shingle Springs Rancheria",641958,0,140,0.032961419,6.64741e-05,NA,NA
"584","Shinnecock",NA,NA,9370,979494,"9370R","Shinnecock (state) Reservation",3494292,0,16,0.082315824,0.000373276,NA,NA
"585","Shishmaref",NA,NA,7465,2419217,"7465R","Shishmaref ANVSA",42980933,4115,525,0.636884087,0.008528524,NA,NA
"586","Shoalwater Bay",NA,NA,3780,1508317,"3780R","Shoalwater Bay Indian Reservation",2699959,595212,78,0.080010917,0.000387741,NA,NA
"587","Shungnak",NA,NA,7470,2419218,"7470R","Shungnak ANVSA",20853329,2410509,288,0.306394223,0.004758647,NA,NA
"588","Siletz",NA,NA,3795,1155124,"3795R","Siletz Reservation",16073090,1164,675,1.195971063,0.001826208,NA,NA
"589","Sitka",NA,NA,7475,2575190,"7475R","Sitka ANVSA",6832476,901630,4701,0.296738302,0.001144656,NA,NA
"590","Skagway",NA,NA,7485,2575191,"7485R","Skagway ANVSA",209377422,11735259,1061,1.002089868,0.035106429,NA,NA
"591","Skokomish",NA,NA,3825,1525866,"3825R","Skokomish Reservation",21255693,570434,761,0.299517766,0.002597501,NA,NA
"592","Skull Valley",NA,NA,3840,1445643,"3840R","Skull Valley Reservation",72932870,0,29,0.501964876,0.007735365,NA,NA
"593","Sleetmute",NA,NA,7495,2419223,"7495R","Sleetmute ANVSA",54764625,13575196,83,0.446983934,0.011580565,NA,NA
"594","Smith River",NA,NA,3855,274833,"3855R","Smith River Rancheria",657825,0,129,0.058215342,7.14323e-05,NA,NA
"595","Snoqualmie",NA,NA,3860,2419473,"3860R","Snoqualmie Reservation",229227,0,0,0.02694103,2.73746e-05,NA,NA
"596","Soboba",NA,NA,3870,249635,"3870R","Soboba Reservation",25786165,399497,417,0.271709422,0.00254881,NA,NA
"597","Sokaogon Chippewa",NA,NA,3885,1577206,"3885R","Sokaogon Chippewa Community",7625889,888166,461,0.183043527,0.000979996,NA,NA
"598","Solomon",NA,NA,7500,2419225,"7500R","Solomon ANVSA",8917857,13548811,0,0.838870773,0.004195213,NA,NA
"599","South Fork",NA,NA,3930,861680,"3930R","South Fork Reservation",39443126,10727,57,0.742774024,0.004197065,NA,NA
"600","South Maui",NA,NA,5213,1853356,"5213T","South Maui Hawaiian Home Land",890437,0,0,0.144676052,7.71621e-05,NA,NA
"601","South Naknek",NA,NA,7505,2419226,"7505R","South Naknek ANVSA",226499835,6301244,41,1.229037698,0.036013061,NA,NA
"602","Spirit Lake",NA,NA,3935,1934326,"3935R","Spirit Lake Reservation",1009175853,25326523,4455,3.353822567,0.124461567,NA,NA
"603","Spokane",NA,NA,3940,1511576,"3940R","Spokane Reservation",615340764,31967209,2187,1.815511146,0.077904368,NA,NA
"604","Squaxin Island",NA,NA,3955,1508671,"3955R","Squaxin Island Reservation",6481119,0,524,0.303174179,0.000769251,NA,NA
"605","St. Croix",NA,NA,3305,1843172,"3305R","St. Croix Reservation",8116397,147462,636,0.433543221,0.000954059,NA,NA
"606","St. George",NA,NA,7340,2419228,"7340R","St. George ANVSA",90081562,382086106,78,1.152355411,0.069016393,NA,NA
